"Provincia","Habitantes","Extension","Densidada","link"
"Azuay","712 127","8639","82,43","https://es.wikipedia.org/wiki/Provincia_de_Azuay"
"Bolívar","183 641","3254","56,43","https://es.wikipedia.org/wiki/Provincia_de_Bol%C3%ADvar_(Ecuador)"
"Cañar","225 184","3908","57,62","https://es.wikipedia.org/wiki/Provincia_de_Ca%C3%B1ar"
"Carchi","164 524","3699","44,47","https://es.wikipedia.org/wiki/Provincia_de_Carchi"
"Chimborazo","458 581","5287","86,73","https://es.wikipedia.org/wiki/Provincia_de_Chimborazo"
"Cotopaxi","409 205","6569","62,29","https://es.wikipedia.org/wiki/Provincia_de_Cotopaxi"
"El Oro","600 659","5988","100,31","https://es.wikipedia.org/wiki/Provincia_de_El_Oro"
"Esmeraldas","491 168","14 893","32","https://es.wikipedia.org/wiki/Provincia_de_Esmeraldas"
"Galápagos","25 124","8010","3,13","https://es.wikipedia.org/wiki/Provincia_de_Gal%C3%A1pagos"
"Guayas","3 645 483","17 139","212,70","https://es.wikipedia.org/wiki/Provincia_de_Guayas"
"Imbabura","398 244","4599","86,59","https://es.wikipedia.org/wiki/Provincia_de_Imbabura"
"Loja","453 966","11 027","40,71","https://es.wikipedia.org/wiki/Provincia_de_Loja"
"Los Ríos","778 115","6254","124,41","https://es.wikipedia.org/wiki/Provincia_de_Los_R%C3%ADos"
"Manabí","1 369 780","18 400","74,44","https://es.wikipedia.org/wiki/Provincia_de_Manab%C3%AD"
"Morona Santiago","147 940","25 690","5,75","https://es.wikipedia.org/wiki/Provincia_de_Morona_Santiago"
"Napo","103 697","13 271","7,81","https://es.wikipedia.org/wiki/Provincia_de_Napo"
"Orellana","136 396","21 675","6,57","https://es.wikipedia.org/wiki/Provincia_de_Orellana"
"Pastaza","83 933","29 520","2,84","https://es.wikipedia.org/wiki/Provincia_de_Pastaza"
"Pichincha","2 576 287","9612","271,35","https://es.wikipedia.org/wiki/Provincia_de_Pichincha"
"Santa Elena","308 693","3763","82,03","https://es.wikipedia.org/wiki/Provincia_de_Santa_Elena"
"Santo Domingo de los Tsáchilas","410 937","4180","98","https://es.wikipedia.org/wiki/Provincia_de_Santo_Domingo_de_los_Ts%C3%A1chilas"
"Sucumbíos","176 472","18 612","9,48","https://es.wikipedia.org/wiki/Provincia_de_Sucumb%C3%ADos"
"Tungurahua","504 583","3334","151,34","https://es.wikipedia.org/wiki/Provincia_de_Tungurahua"
"Zamora Chinchipe","91 376","10 556","8,65","https://es.wikipedia.org/wiki/Provincia_de_Zamora_Chinchipe"
